182,S BALTIMORE AVE AND CHICAGO SKYWAY,S BALTIMORE AVE AND 96TH ST
183,S BRANDON AVE AND 85TH ST,8516 S BRANDON AVE
184,S BUFFALO AVE AND 108TH ST,S BUFFALO AVE AND 109TH ST
185,S BUFFALO AVE AND 136TH ST,S BUFFALO AVE AND BRAINARD AVE
186,S BURLEY AVE AND 107TH ST,S BURLEY AVE AND 108TH ST
187,S BURLEY AVE AND 108TH ST,S BURLEY AVE AND 109TH ST
188,S BURLEY AVE AND 131ST ST,S BURLEY AVE AND 132ND ST
189,S CARONDOLET AVE AND 126TH ST,S CARONDOLET AVE AND 127TH ST
190,S CARONDOLET AVE AND 127TH ST,12832 S CARONDOLET AVE
191,S ESCANABA AVE AND 100TH ST,S ESCANABA AVE AND 101ST ST
192,S ESCANABA AVE AND 101ST ST,S ESCANABA AVE AND 102ND ST
193,S ESCANABA AVE AND 102ND ST,S ESCANABA AVE AND 103RD ST
194,S GREEN BAY AVE AND 133RD ST,S GREEN BAY AVE AND 134TH ST
195,S GREEN BAY AVE AND 134TH ST,S GREEN BAY AVE AND 135TH ST
196,S GREEN BAY AVE AND 135TH ST,13558 S GREEN  BAY AVE
197,S HOXIE AVE AND 109TH ST,10924 S HOXIE AVE
198,S MACKINAW AVE AND 110TH ST,S MACKINAW AVE AND 111TH ST
199,S MACKINAW AVE AND 111TH ST,S MACKINAW AVE AND 112TH ST
200,S MACKINAW AVE AND 112TH ST,S MACKINAW AVE AND 113TH ST
201,S MACKINAW AVE AND 113TH ST,S MACKINAW AVE AND 114TH ST
202,S MACKINAW AVE AND 8228 S,S MACKINAW AVE AND 83RD ST
203,S MANISTEE AVE AND 10300 S,S MANISTEE AVE AND 104TH ST
204,S MUSKEGON AVE AND 103RD ST,S MUSKEGON AVE AND 104TH ST
205,S MUSKEGON AVE AND 100TH ST,S MUSKEGON AVE AND 101ST ST
206,W 33RD ST AND JUSTINE ST,W 33RD ST AND ASHLAND AVE
207,W 34TH ST AND IRON ST,W 34TH ST AND JUSTINE ST
208,W 34TH ST AND JUSTINE ST,W 34TH ST AND ASHLAND AVE
209,S BELL AVE AND 35TH ST,3512 S BELL AVE
210,S BENSON ST AND 31ST PL,S BENSON ST AND 32ND ST
211,S BENSON ST AND 32ND ST,S BENSON ST AND 32ND PL
212,S BLAKE ST AND ARCHER AVE,3638 S BLAKE ST
213,2900 S BROAD ST,S BROAD ST AND ARCHER AVE
214,S CANAL ST AND 39TH ST,3940 S CANAL ST
215,S HOEY ST AND MARY ST,S HOEY ST AND POPLAR AVE
216,S IRON ST AND 3300 S,S IRON ST AND 34TH ST
217,S MARY ST AND ARCHER AVE,S MARY ST AND HOEY ST
218,2900 S MC DERMOTT ST AND,S MC DERMOTT ST AND ARCHER AVE
219,2500 S SENOUR AVE,S SENOUR AVE AND OB STEVENSON EXPY
220,S SENOUR AVE AND HILLOCK AVE,2500 S SENOUR AVE
221,S SHORT ST AND ELEANOR ST,S SHORT ST AND HILLOCK AVE
222,S STEWART AVE AND 44TH PL,S STEWART AVE AND 43RD PL
223,27TH ST AND TROY ST,27TH ST AND SACRAMENTO AVE
224,W 30TH ST AND ALBANY AVE,W 30TH ST AND TROY ST
225,W 30TH ST AND TROY ST,W 30TH ST AND KEDZIE AVE
226,W 35TH ST AND CALIFORNIA AVE,W 35TH ST AND MOZART ST
227,2900 W 35TH ST,2926 W 35TH ST 
228,W 35TH ST AND MOZART ST,W 35TH ST AND FRANCISCO AVE
229,W 36TH PL AND KEDZIE AVE,W 3214 W 36TH PL 
230,W 36TH ST AND KEDZIE AVE,W 3332 W 36TH ST 
231,W 41ST ST AND OAKLEY AVE,W 41ST ST AND WESTERN BLVD
232,W 45TH ST AND OAKLEY AVE,W 45TH ST AND WESTERN BLVD
233,2300 W 47TH PL,W 47TH PL AND WESTERN BLVD
234,2200 W 48TH PL,W 48TH PL AND OAKLEY AVE
235,S ALBANY AVE AND 30TH ST,S ALBANY AVE AND 31ST ST
236,S ARTESIAN AVE AND 35TH ST,S ARTESIAN AVE AND 36TH ST
237,S ARTESIAN AVE AND ARCHER AVE,S ARTESIAN AVE AND PERSHING RD
238,S CAMPBELL AVE AND 48TH ST,4828 S CAMPBELL AVE 
239,3600 S HOMAN AVE,S HOMAN AVE AND 37TH ST
240,S HOYT AVE AND BROSS AVE,S HOYT AVE AND 33RD ST
241,S OAKLEY AVE AND 41ST ST,S OAKLEY AVE AND 42ND ST
242,S RICHMOND ST AND 36TH ST,S RICHMOND ST AND 35TH ST
243,S WHIPPLE ST AND 26TH ST,S WHIPPLE ST AND 27TH ST
244,CENTRAL S PARK AVE AND 60TH PL,CENTRAL S PARK AVE AND 61ST ST
245,CENTRAL S PARK AVE AND 60TH ST,CENTRAL S PARK AVE AND 60TH PL
246,CENTRAL S PARK AVE AND 61ST ST,CENTRAL S PARK AVE AND 62ND ST
247,CENTRAL S PARK AVE AND 62ND PL,CENTRAL S PARK AVE AND 63RD ST
248,CENTRAL S PARK AVE AND 62ND PL,CENTRAL S PARK AVE AND 62ND ST
249,KEATING AND S 42ND ST,KEATING AND 43RD ST
250,S KILPATRICK AVE AND 42ND ST,S KILPATRICK AVE AND 43RD ST
251,S KNOX AVE AND 42ND ST,S KNOX AVE AND 43RD ST
252,W 62ND ST AND HOYNE AVE,W 62ND ST AND SEELEY AVE
253,W 62ND ST AND SEELEY AVE,W 62ND ST AND DAMEN AVE
254,S HAMILTON AVE AND 67TH ST,S HAMILTON AVE AND 68TH ST
255,S HERMITAGE AVE AND 58TH ST,5818 S HERMITAGE AVE 
256,S HOYNE AVE AND 62ND ST,S HOYNE AVE AND 63RD ST
257,S MARSHFIELD AVE AND 58TH ST,5818 S MARSHFIELD AVE 
258,W 49TH ST AND HOYNE AVE,2158 W 49TH ST
259,W 51ST PL AND 2200 W,W 51ST PL AND OAKLEY AVE
260,W 57TH ST AND ROCKWELL ST,W 57TH ST AND TALMAN AVE
261,W 57TH ST AND TALMAN AVE,W 57TH ST AND WASHTENAW AVE
262,2200 W 58TH ST,W 58TH ST AND OAKLEY AVE
263,5214 S HOYNE AVE,S HOYNE AVE AND 52ND PL
264,W JAMES ST AND HOYNE AVE,W 2110 W JAMES ST 
265,S LEAVITT ST AND 54TH PL,S LEAVITT ST AND GARFIELD BLVD
266,S LEAVITT ST AND 5400 S,S LEAVITT ST AND 54TH PL
267,S WASHTENAW AVE AND 56TH ST,S WASHTENAW AVE AND 57TH ST
268,W 72ND ST AND SEELEY AVE,W 72ND ST AND HOYNE AVE
269,W 73RD ST AND DAMEN AVE,W 73RD ST AND HOYNE AVE
270,W 73RD ST AND STEWART AVE,W 402 W 73RD ST 
271,W 74TH ST AND DAMEN AVE,W 74TH ST AND SEELEY AVE
272,W 74TH ST AND HOYNE AVE,W 2128 W 74TH ST 
273,W 74TH ST AND SEELEY AVE,W 74TH ST AND HOYNE AVE
274,W 77TH ST AND PERRY AVE,W 77TH ST AND WENTWORTH AVE
275,W 77TH ST AND WENTWORTH AVE,W 77TH ST AND YALE AVE
276,W 77TH ST AND YALE AVE,W 77TH ST AND VINCENNES AVE
277,S HAMILTON AVE AND 69TH PL,S HAMILTON AVE AND 69TH ST
278,S HAMILTON AVE AND 69TH PL,S HAMILTON AVE AND 70TH ST
279,S HAMILTON AVE AND 70TH PL,S HAMILTON AVE AND 70TH ST
280,S HAMILTON AVE AND 70TH PL,S HAMILTON AVE AND 71ST ST
281,7500 S LAFLIN ST,S LAFLIN ST AND 76TH ST
282,W 74TH ST AND ALBANY AVE,W 74TH ST AND TROY ST
283,W 74TH ST AND FRANCISCO AVE,W 74TH ST AND RICHMOND ST
284,2833 W 74TH ST,W 2859 W 74TH ST 
285,W 76TH ST AND ARTESIAN AVE,W 76TH ST AND CAMPBELL AVE
286,W 76TH ST AND CAMPBELL AVE,W 76TH ST AND MAPLEWOOD AVE
287,W 76TH ST AND CLAREMONT AVE,W 76TH ST AND WESTERN AVE
288,W 76TH ST AND WESTERN AVE,W 76TH ST AND ARTESIAN AVE
289,W 84TH PL AND COLUMBUS AVE,W 3730 W 84TH PL 
290,CENTRAL S PARK AVE AND 75TH ST,CENTRAL S PARK AVE AND 75TH PL
291,W MYRICK ST AND HAMLIN AVE,W MYRICK ST AND SPRINGFIELD AVE
292,W MYRICK ST AND RIDGEWAY AVE,W MYRICK ST AND HAMLIN AVE
293,ST S LOUIS AVE AND 81ST PL,8154 S ST LOUIS AVE
294,S WHIPPLE ST AND 73RD ST,S WHIPPLE ST AND 74TH ST
295,W 101ST ST AND WOOD ST,W 101ST ST AND LONGWOOD
296,S 104TH ST AND HALE AVE,S 104TH ST AND WOOD ST
297,W 104TH ST AND 2648 W,2662 W 104TH ST
